,Country,Region,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Year
0,Switzerland,Western Europe,7.59,1.4,1.35,0.94,0.67,0.42,0.3,2015
1,Iceland,Western Europe,7.56,1.3,1.4,0.95,0.63,0.14,0.44,2015
2,Denmark,Western Europe,7.53,1.33,1.36,0.87,0.65,0.48,0.34,2015
3,Norway,Western Europe,7.52,1.46,1.33,0.89,0.67,0.37,0.35,2015
4,Canada,North America,7.43,1.33,1.32,0.91,0.63,0.33,0.46,2015
5,Finland,Western Europe,7.41,1.29,1.32,0.89,0.64,0.41,0.23,2015
6,Netherlands,Western Europe,7.38,1.33,1.28,0.89,0.62,0.32,0.48,2015
7,Sweden,Western Europe,7.36,1.33,1.29,0.91,0.66,0.44,0.36,2015
8,New Zealand,Australia and New Zealand,7.29,1.25,1.32,0.91,0.64,0.43,0.48,2015
9,Australia,Australia and New Zealand,7.28,1.33,1.31,0.93,0.65,0.36,0.44,2015
10,Israel,Middle East and Northern Africa,7.28,1.23,1.22,0.91,0.41,0.08,0.33,2015
11,Costa Rica,Latin America and Caribbean,7.23,0.96,1.24,0.86,0.63,0.11,0.25,2015
12,Austria,Western Europe,7.2,1.34,1.3,0.89,0.62,0.19,0.33,2015
13,Mexico,Latin America and Caribbean,7.19,1.02,0.91,0.81,0.48,0.21,0.14,2015
14,United States,North America,7.12,1.39,1.25,0.86,0.55,0.16,0.4,2015
15,Brazil,Latin America and Caribbean,6.98,0.98,1.23,0.7,0.49,0.18,0.15,2015
16,Luxembourg,Western Europe,6.95,1.56,1.22,0.92,0.62,0.38,0.28,2015
17,Ireland,Western Europe,6.94,1.34,1.37,0.9,0.62,0.29,0.46,2015
18,Belgium,Western Europe,6.94,1.31,1.29,0.9,0.58,0.23,0.22,2015
19,United Arab Emirates,Middle East and Northern Africa,6.9,1.43,1.13,0.81,0.64,0.39,0.26,2015
20,United Kingdom,Western Europe,6.87,1.27,1.29,0.91,0.6,0.32,0.52,2015
21,Venezuela,Latin America and Caribbean,6.81,1.04,1.26,0.72,0.43,0.11,0.06,2015
22,Singapore,Southeastern Asia,6.8,1.52,1.02,1.03,0.54,0.49,0.31,2015
23,Panama,Latin America and Caribbean,6.79,1.06,1.2,0.8,0.54,0.09,0.24,2015
24,Germany,Western Europe,6.75,1.33,1.3,0.89,0.61,0.22,0.28,2015
25,Chile,Latin America and Caribbean,6.67,1.11,1.12,0.86,0.44,0.13,0.33,2015
26,Qatar,Middle East and Northern Africa,6.61,1.69,1.08,0.8,0.64,0.52,0.33,2015
27,France,Western Europe,6.58,1.28,1.26,0.95,0.55,0.21,0.12,2015
28,Argentina,Latin America and Caribbean,6.57,1.05,1.25,0.79,0.45,0.08,0.11,2015
29,Czech Republic,Central and Eastern Europe,6.51,1.18,1.21,0.84,0.46,0.03,0.11,2015
30,Uruguay,Latin America and Caribbean,6.49,1.06,1.21,0.81,0.6,0.25,0.23,2015
31,Colombia,Latin America and Caribbean,6.48,0.92,1.24,0.69,0.53,0.05,0.18,2015
32,Thailand,Southeastern Asia,6.46,0.97,1.27,0.74,0.56,0.03,0.58,2015
33,Saudi Arabia,Middle East and Northern Africa,6.41,1.4,1.08,0.72,0.31,0.33,0.14,2015
34,Spain,Western Europe,6.33,1.23,1.31,0.96,0.46,0.06,0.18,2015
35,Malta,Western Europe,6.3,1.21,1.3,0.89,0.6,0.14,0.52,2015
36,Taiwan,Eastern Asia,6.3,1.29,1.08,0.88,0.4,0.08,0.25,2015
37,Kuwait,Middle East and Northern Africa,6.3,1.55,1.17,0.72,0.55,0.26,0.16,2015
38,Trinidad and Tobago,Latin America and Caribbean,6.17,1.21,1.18,0.61,0.56,0.01,0.32,2015
39,El Salvador,Latin America and Caribbean,6.13,0.76,1.03,0.68,0.4,0.12,0.11,2015
40,Guatemala,Latin America and Caribbean,6.12,0.75,1.04,0.64,0.58,0.09,0.27,2015
41,Uzbekistan,Central and Eastern Europe,6.0,0.63,1.34,0.6,0.66,0.31,0.23,2015
42,Slovakia,Central and Eastern Europe,6.0,1.17,1.27,0.79,0.32,0.03,0.17,2015
43,Japan,Eastern Asia,5.99,1.27,1.26,0.99,0.5,0.18,0.11,2015
44,South Korea,Eastern Asia,5.98,1.24,0.96,0.97,0.33,0.08,0.19,2015
45,Ecuador,Latin America and Caribbean,5.98,0.86,1.0,0.79,0.49,0.18,0.12,2015
46,Bahrain,Middle East and Northern Africa,5.96,1.32,1.22,0.75,0.45,0.31,0.17,2015
47,Italy,Western Europe,5.95,1.25,1.2,0.95,0.26,0.03,0.23,2015
48,Bolivia,Latin America and Caribbean,5.89,0.68,0.98,0.54,0.57,0.09,0.21,2015
49,Moldova,Central and Eastern Europe,5.89,0.59,1.02,0.62,0.33,0.02,0.21,2015
50,Paraguay,Latin America and Caribbean,5.88,0.76,1.3,0.66,0.54,0.08,0.34,2015
51,Kazakhstan,Central and Eastern Europe,5.86,1.12,1.12,0.64,0.52,0.08,0.12,2015
52,Slovenia,Central and Eastern Europe,5.85,1.18,1.27,0.87,0.61,0.04,0.25,2015
53,Lithuania,Central and Eastern Europe,5.83,1.15,1.26,0.73,0.21,0.01,0.03,2015
54,Nicaragua,Latin America and Caribbean,5.83,0.59,1.14,0.74,0.55,0.19,0.28,2015
55,Peru,Latin America and Caribbean,5.82,0.9,0.97,0.73,0.41,0.06,0.15,2015
56,Belarus,Central and Eastern Europe,5.81,1.03,1.23,0.74,0.38,0.19,0.11,2015
57,Poland,Central and Eastern Europe,5.79,1.13,1.28,0.78,0.53,0.04,0.17,2015
58,Malaysia,Southeastern Asia,5.77,1.12,1.07,0.72,0.53,0.11,0.33,2015
59,Croatia,Central and Eastern Europe,5.76,1.08,0.8,0.79,0.26,0.02,0.05,2015
60,Libya,Middle East and Northern Africa,5.75,1.13,1.12,0.7,0.42,0.11,0.18,2015
61,Russia,Central and Eastern Europe,5.72,1.14,1.24,0.67,0.37,0.03,0.0,2015
62,Jamaica,Latin America and Caribbean,5.71,0.81,1.15,0.69,0.5,0.02,0.21,2015
63,North Cyprus,Western Europe,5.7,1.21,1.07,0.92,0.49,0.14,0.26,2015
64,Cyprus,Western Europe,5.69,1.21,0.89,0.92,0.41,0.06,0.31,2015
65,Algeria,Middle East and Northern Africa,5.61,0.94,1.08,0.62,0.29,0.17,0.08,2015
